python time: 0.0003266334533691406, cycle count: 4323
python time: 0.0003292560577392578, cycle count: 4361
python time: 0.0003275871276855469, cycle count: 4334
python time: 0.0003342628479003906, cycle count: 4406
python time: 0.00036144256591796875, cycle count: 4690
python time: 0.0003273487091064453, cycle count: 4350
python time: 0.00032639503479003906, cycle count: 4333
python time: 0.0003333091735839844, cycle count: 4400
python time: 0.00032830238342285156, cycle count: 4351
python time: 0.0003368854522705078, cycle count: 4429
python time: 0.03536701202392578, cycle count: 360274
python time: 0.03539776802062988, cycle count: 360586
python time: 0.03628993034362793, cycle count: 369829
python time: 0.03541374206542969, cycle count: 360760
python time: 0.0354313850402832, cycle count: 360946
python time: 0.03544449806213379, cycle count: 361044
python time: 0.03555655479431152, cycle count: 362203
python time: 0.03540444374084473, cycle count: 360657
python time: 0.03544759750366211, cycle count: 361091
python time: 0.03552055358886719, cycle count: 361860
python time: 4.4308180809021, cycle count: 45001684
python time: 4.429322242736816, cycle count: 44986488
python time: 4.434645414352417, cycle count: 45040560
python time: 4.4457080364227295, cycle count: 45152239
python time: 4.42943549156189, cycle count: 44987618
python time: 4.4297871589660645, cycle count: 44991139
python time: 4.43293833732605, cycle count: 45023141
python time: 4.449465036392212, cycle count: 45190537
python time: 4.447911500930786, cycle count: 45174322
python time: 4.436186075210571, cycle count: 45056178
